Topic,CovNum,DocNum
Noise,1358,1
Noise,8984,6
Noise,2239,25
Noise,8998,28
Noise,2084,76
Noise,2493,85
Noise,953,88
Noise,8842,104
Noise,2992,117
Noise,5500,126
Noise,1213,131
Noise,1126,137
Noise,8946,156
Noise,8918,158
Noise,9098,161
Noise,8934,168
Noise,332,175
Noise,973,180
Noise,8896,187
Noise,9062,205
Noise,1785,218
Noise,8956,227
Noise,8837,233
Noise,3028,246
Noise,8950,248
Noise,1796,262
Noise,2735,295
Noise,9037,300
Noise,9038,302
Noise,24,312
Noise,8850,313
Noise,2235,314
Noise,9620,317
Noise,8883,325
Noise,1868,331
Noise,5415,334
Noise,8874,35
Noise,8863,341
Noise,8840,356
Noise,8884,360
Noise,550,364
Noise,9211,382
Noise,9589,383
Noise,10670,384
Noise,1468,385
Noise,8970,389
Noise,1563,391
Noise,8834,406
Noise,9485,407
Noise,8882,410
Noise,9096,424
Noise,9584,428
Noise,2744,435
Noise,8142,437
Noise,9026,451
Noise,9009,452
Noise,1119,457
Noise,9201,460
Noise,8835,461
Noise,9088,462
Noise,549,463
Noise,2542,464
Noise,8906,466
Noise,2725,486
Noise,2384,494
Noise,8845,500
Noise,9022,501
Noise,9052,505
Noise,9587,513
Noise,1186,514
Noise,8981,516
Noise,9097,517
Noise,841,523
Noise,5244,527
Noise,9591,531
Noise,9101,538
Noise,794,539
Noise,201,545
Noise,9575,546
Noise,9472,547
Noise,1139,550
Noise,1084,551
Noise,9578,557
Noise,9091,565
Noise,9045,570
Noise,8979,575
Noise,222,601
Noise,7542,617
Noise,8855,618
Noise,7106,627
Noise,2047,630
Noise,8966,633
Noise,248,635
Noise,7968,646
Noise,1419,647
Ecosystem Ecology,664,3
Ecosystem Ecology,8839,8
Ecosystem Ecology,7062,9
Ecosystem Ecology,10684,14
Ecosystem Ecology,10667,15
Ecosystem Ecology,9441,17
Ecosystem Ecology,9551,18
Ecosystem Ecology,6684,19
Ecosystem Ecology,8930,22
Ecosystem Ecology,8836,26
Ecosystem Ecology,9476,30
Ecosystem Ecology,9482,34
Ecosystem Ecology,9440,39
Ecosystem Ecology,8914,43
Ecosystem Ecology,9509,44
Ecosystem Ecology,9456,45
Ecosystem Ecology,9434,48
Ecosystem Ecology,6598,49
Ecosystem Ecology,9474,53
Ecosystem Ecology,2295,54
Ecosystem Ecology,2605,56
Ecosystem Ecology,9484,57
Ecosystem Ecology,9439,62
Ecosystem Ecology,9467,63
Ecosystem Ecology,611,70
Ecosystem Ecology,9002,71
Ecosystem Ecology,9477,75
Ecosystem Ecology,8891,82
Ecosystem Ecology,8920,83
Ecosystem Ecology,9574,84
Ecosystem Ecology,9500,92
Ecosystem Ecology,9488,95
Ecosystem Ecology,9453,102
Ecosystem Ecology,10662,103
Ecosystem Ecology,8945,110
Ecosystem Ecology,1146,111
Ecosystem Ecology,10652,112
Ecosystem Ecology,8856,113
Ecosystem Ecology,7894,115
Ecosystem Ecology,9548,118
Ecosystem Ecology,9048,121
Ecosystem Ecology,1323,122
Ecosystem Ecology,8933,138
Ecosystem Ecology,10659,140
Ecosystem Ecology,10646,143
Ecosystem Ecology,10665,148
Ecosystem Ecology,10647,149
Ecosystem Ecology,8939,151
Ecosystem Ecology,9519,153
Ecosystem Ecology,9465,157
Ecosystem Ecology,9093,159
Ecosystem Ecology,9040,167
Ecosystem Ecology,9162,173
Ecosystem Ecology,9490,179
Ecosystem Ecology,9437,181
Ecosystem Ecology,10586,183
Ecosystem Ecology,9515,185
Ecosystem Ecology,9525,188
Ecosystem Ecology,8991,198
Ecosystem Ecology,9433,204
Ecosystem Ecology,9616,207
Ecosystem Ecology,8978,212
Ecosystem Ecology,8982,213
Ecosystem Ecology,9516,215
Ecosystem Ecology,8935,216
Ecosystem Ecology,8943,224
Ecosystem Ecology,9524,226
Ecosystem Ecology,9436,228
Ecosystem Ecology,9622,231
Ecosystem Ecology,9452,235
Ecosystem Ecology,10679,242
Ecosystem Ecology,8857,244
Ecosystem Ecology,9540,245
Ecosystem Ecology,9478,247
Ecosystem Ecology,10685,253
Ecosystem Ecology,9481,254
Ecosystem Ecology,1336,255
Ecosystem Ecology,5155,257
Ecosystem Ecology,7630,264
Ecosystem Ecology,603,267
Ecosystem Ecology,8994,269
Ecosystem Ecology,10675,274
Ecosystem Ecology,8828,275
Ecosystem Ecology,9475,279
Ecosystem Ecology,9013,280
Ecosystem Ecology,9167,281
Ecosystem Ecology,9572,283
Ecosystem Ecology,9592,288
Ecosystem Ecology,9504,289
Ecosystem Ecology,9555,290
Ecosystem Ecology,9553,296
Ecosystem Ecology,9537,297
Ecosystem Ecology,8968,307
Ecosystem Ecology,10689,310
Ecosystem Ecology,10645,311
Ecosystem Ecology,9492,315
Ecosystem Ecology,1528,316
Ecosystem Ecology,9532,318
Ecosystem Ecology,8971,320
Ecosystem Ecology,8940,322
Ecosystem Ecology,9421,323
Ecosystem Ecology,9483,324
Ecosystem Ecology,4202,326
Ecosystem Ecology,9507,332
Ecosystem Ecology,9598,333
Ecosystem Ecology,9161,336
Ecosystem Ecology,637,337
Ecosystem Ecology,9464,338
Ecosystem Ecology,10709,343
Ecosystem Ecology,2948,344
Ecosystem Ecology,323,346
Ecosystem Ecology,9420,350
Ecosystem Ecology,8942,352
Ecosystem Ecology,9570,357
Ecosystem Ecology,9480,365
Ecosystem Ecology,4723,367
Ecosystem Ecology,10650,371
Ecosystem Ecology,9534,378
Ecosystem Ecology,8848,386
Ecosystem Ecology,9491,390
Ecosystem Ecology,9489,392
Ecosystem Ecology,10649,395
Ecosystem Ecology,10680,398
Ecosystem Ecology,9497,402
Ecosystem Ecology,9510,413
Ecosystem Ecology,8390,415
Ecosystem Ecology,9563,416
Ecosystem Ecology,10640,418
Ecosystem Ecology,9535,419
Ecosystem Ecology,9486,420
Ecosystem Ecology,9556,423
Ecosystem Ecology,10642,425
Ecosystem Ecology,9604,426
Ecosystem Ecology,9596,427
Ecosystem Ecology,10678,430
Ecosystem Ecology,9505,432
Ecosystem Ecology,9460,433
Ecosystem Ecology,10644,434
Ecosystem Ecology,9542,438
Ecosystem Ecology,9030,440
Ecosystem Ecology,9017,442
Ecosystem Ecology,9094,443
Ecosystem Ecology,9501,446
Ecosystem Ecology,9547,453
Ecosystem Ecology,9023,454
Ecosystem Ecology,9447,456
Ecosystem Ecology,9451,458
Ecosystem Ecology,9496,459
Ecosystem Ecology,9562,465
Ecosystem Ecology,8987,474
Ecosystem Ecology,1035,480
Ecosystem Ecology,9195,488
Ecosystem Ecology,1139,489
Ecosystem Ecology,630,491
Ecosystem Ecology,8977,492
Ecosystem Ecology,10653,495
Ecosystem Ecology,9442,503
Ecosystem Ecology,8936,506
Ecosystem Ecology,1235,510
Ecosystem Ecology,10671,511
Ecosystem Ecology,9071,515
Ecosystem Ecology,3580,522
Ecosystem Ecology,1364,528
Ecosystem Ecology,9545,534
Ecosystem Ecology,9502,535
Ecosystem Ecology,9610,537
Ecosystem Ecology,9517,542
Ecosystem Ecology,9095,544
Ecosystem Ecology,10669,548
Ecosystem Ecology,10643,549
Ecosystem Ecology,10668,552
Ecosystem Ecology,9065,554
Ecosystem Ecology,9039,558
Ecosystem Ecology,1100,560
Ecosystem Ecology,9422,563
Ecosystem Ecology,9470,564
Ecosystem Ecology,2632,569
Ecosystem Ecology,9200,572
Ecosystem Ecology,9468,573
Ecosystem Ecology,9160,574
Ecosystem Ecology,9493,581
Ecosystem Ecology,9459,584
Ecosystem Ecology,9196,585
Ecosystem Ecology,5999,588
Ecosystem Ecology,9552,589
Ecosystem Ecology,9450,594
Ecosystem Ecology,9444,597
Ecosystem Ecology,853,600
Ecosystem Ecology,8058,603
Ecosystem Ecology,9448,605
Ecosystem Ecology,10683,606
Ecosystem Ecology,1444,611
Ecosystem Ecology,8945,612
Ecosystem Ecology,9077,628
Ecosystem Ecology,9581,634
Ecosystem Ecology,9454,636
Ecosystem Ecology,10690,639
Ecosystem Ecology,9512,641
Ecosystem Ecology,9473,643
Ecosystem Ecology,9544,644
Ecosystem Ecology,9563,645
Ecosystem Ecology,9523,650
Neuroscience,9836,5
Neuroscience,6671,10
Neuroscience,505,23
Neuroscience,9793,24
Neuroscience,4023,40
Neuroscience,9891,50
Neuroscience,9880,66
Neuroscience,9871,73
Neuroscience,9810,98
Neuroscience,9609,109
Neuroscience,9885,125
Neuroscience,9869,128
Neuroscience,3767,130
Neuroscience,9874,135
Neuroscience,9875,150
Neuroscience,9168,155
Neuroscience,9878,160
Neuroscience,9887,162
Neuroscience,8918,166
Neuroscience,9876,186
Neuroscience,80,193
