File Name,File ID,View URL,AuthorName,Year,Title,AuthorName_Clean,Year_Clean,Title_Clean
Abraham and Rodriguez - 2012 - Investigating the Ecology of West Nile Virus in th.pdf,1ghEJN6vsM7GN1fOPVCxEubVdIUdITJni,https://drive.google.com/file/d/1ghEJN6vsM7GN1fOPVCxEubVdIUdITJni/view,Abraham and Rodriguez,2012,Investigating the Ecology of West Nile Virus in th,abraham and rodriguez,2012,investigating the ecology of west nile virus in th
Achterman - 2019 - Minds at Play Using an Online Protein Folding Gam.pdf,1sfKDBPpwoaB3BYsMGCeVBk4U9HBHggfd,https://drive.google.com/file/d/1sfKDBPpwoaB3BYsMGCeVBk4U9HBHggfd/view,Achterman,2019,Minds at Play Using an Online Protein Folding Gam,achterman,2019,minds at play using an online protein folding gam
Adil et al. - 2021 - Remote Online Project Traveling in a Virtual Worl.pdf,1iT6Zbh_m2iofk1oBEW-znzC_OTaXwg8c,https://drive.google.com/file/d/1iT6Zbh_m2iofk1oBEW-znzC_OTaXwg8c/view,Adil et al.,2021,Remote Online Project Traveling in a Virtual Worl,adil et al.,2021,remote online project traveling in a virtual worl
Agrawal - 2022 - Molecular Parasitology.pdf,1rW8G7NKA3tfMSgCRboPWJsgJNUFj5pYc,https://drive.google.com/file/d/1rW8G7NKA3tfMSgCRboPWJsgJNUFj5pYc/view,Agrawal,2022,Molecular Parasitology,agrawal,2022,molecular parasitology
Ahmed - 2015 - Karyotype Analysis Activity A Constructivist Lear.pdf,1-sF5cZmI04nbaw5b11g0GZtI1Gn_cs17,https://drive.google.com/file/d/1-sF5cZmI04nbaw5b11g0GZtI1Gn_cs17/view,Ahmed,2015,Karyotype Analysis Activity A Constructivist Lear,ahmed,2015,karyotype analysis activity a constructivist lear
Anderson et al. - 2017 - Improving Student Learning Through an Interdiscipl.pdf,1KviJ3oGfmP1e_8yNtPsEE2_PYgctaqL7,https://drive.google.com/file/d/1KviJ3oGfmP1e_8yNtPsEE2_PYgctaqL7/view,Anderson et al.,2017,Improving Student Learning Through an Interdiscipl,anderson et al.,2017,improving student learning through an interdiscipl
Andrews et al. - 2011 - are Humans Evolving A Classroom Discussion to C.pdf,1NgSgI0SB-5038HOB4bKXsBNo4MvKaqTA,https://drive.google.com/file/d/1NgSgI0SB-5038HOB4bKXsBNo4MvKaqTA/view,Andrews et al.,2011,are Humans Evolving A Classroom Discussion to C,andrews et al.,2011,are humans evolving a classroom discussion to c
"Angra - 2020 - Data, distributions, and hypotheses exploring diversity and disturbance in the tallgrass prairie.pdf",1PqDACAUUI8B6s04SO86KKbt3Dio4nlHd,https://drive.google.com/file/d/1PqDACAUUI8B6s04SO86KKbt3Dio4nlHd/view,Angra,2020,"Data, distributions, and hypotheses exploring diversity and disturbance in the tallgrass prairie",angra,2020,"data, distributions, and hypotheses exploring diversity and disturbance in the tallgrass prairie"
Arneson et al. - 2022 - Splicing it together Using primary data to explor.pdf,1cx7Pac4-HNTRyWwSv6fr505h3b-3024z,https://drive.google.com/file/d/1cx7Pac4-HNTRyWwSv6fr505h3b-3024z/view,Arneson et al.,2022,Splicing it together Using primary data to explor,arneson et al.,2022,splicing it together using primary data to explor
Aronhime et al. - 2013 - Teaching Exponential and Logistic Growth in a Vari.pdf,1ZtY2KP2-qvTEKgXSXrOB4BTH_ZOWLFqf,https://drive.google.com/file/d/1ZtY2KP2-qvTEKgXSXrOB4BTH_ZOWLFqf/view,Aronhime et al.,2013,Teaching Exponential and Logistic Growth in a Vari,aronhime et al.,2013,teaching exponential and logistic growth in a vari
Arora - 2019 - Genome Solver Microbial Comparative Genomics.pdf,1fbKri5UNNavoWrszgOtQNbyCUgt5TCgx,https://drive.google.com/file/d/1fbKri5UNNavoWrszgOtQNbyCUgt5TCgx/view,Arora,2019,Genome Solver Microbial Comparative Genomics,arora,2019,genome solver microbial comparative genomics
Azarenko - 2000 - Situation-based and cooperative learning in an upp.pdf,1dtR5kerv1e7eVluSe-JesfZwsGRk5VYy,https://drive.google.com/file/d/1dtR5kerv1e7eVluSe-JesfZwsGRk5VYy/view,Azarenko,2000,Situation-based and cooperative learning in an upp,azarenko,2000,situation-based and cooperative learning in an upp
Bagatto - 2009 - Guided inquiry lab exercises in development and ox.pdf,1G1wRu7DDx-pcZ7RDf6DzgbT24ZhwljQk,https://drive.google.com/file/d/1G1wRu7DDx-pcZ7RDf6DzgbT24ZhwljQk/view,Bagatto,2009,Guided inquiry lab exercises in development and ox,bagatto,2009,guided inquiry lab exercises in development and ox
Baid et al. - 2022 - A CURE for the COVID-19 Era A Vaccine-Focused Onl.pdf,1Z7gn1wzHpYusfDvUUdjhtQI9Gg-LTiUu,https://drive.google.com/file/d/1Z7gn1wzHpYusfDvUUdjhtQI9Gg-LTiUu/view,Baid et al.,2022,A CURE for the COVID-19 Era A Vaccine-Focused Onl,baid et al.,2022,a cure for the covid-19 era a vaccine-focused onl
Baker - 2016 - A quantitative investigations of plants expressing green fluorescent protein (GFP) using a home-made camera attachment.pdf,1wRZjZRz84K-sHVY2ae_s--7orAm9p6rJ,https://drive.google.com/file/d/1wRZjZRz84K-sHVY2ae_s--7orAm9p6rJ/view,Baker,2016,A quantitative investigations of plants expressing green fluorescent protein (GFP) using a home-made camera attachment,baker,2016,a quantitative investigations of plants expressing green fluorescent protein (gfp) using a home-made camera attachment
Bakshi et al. - 2019 - The CURE for Cultivating Fastidious Microbes.pdf,1Taxvz0PlBoeE0SxJYgit-9z0jJpGNwiu,https://drive.google.com/file/d/1Taxvz0PlBoeE0SxJYgit-9z0jJpGNwiu/view,Bakshi et al.,2019,The CURE for Cultivating Fastidious Microbes,bakshi et al.,2019,the cure for cultivating fastidious microbes
Ballen et al. - 2019 - Forensic Phylogenetics Implementing Tree-thinking.pdf,1ZQOO9JkF8B0h_Gcem2Zgnrp4bvlrMhLA,https://drive.google.com/file/d/1ZQOO9JkF8B0h_Gcem2Zgnrp4bvlrMhLA/view,Ballen et al.,2019,Forensic Phylogenetics Implementing Tree-thinking,ballen et al.,2019,forensic phylogenetics implementing tree-thinking
"Bangera et al. - 2022 - Hands-On, Hands-Off The Community College Genomic.pdf",11JXlmiwPIEV1twgOPg7bsczjjNHBspeU,https://drive.google.com/file/d/11JXlmiwPIEV1twgOPg7bsczjjNHBspeU/view,Bangera et al.,2022,"Hands-On, Hands-Off The Community College Genomic",bangera et al.,2022,"hands-on, hands-off the community college genomic"
Banta - 2007 - Comparison of a Highly Polymorphic Olfactory Receptor Gene Subfamily in Genetically Diverse Dog Breeds.pdf,1YJVZ73bhdOff8qX3CJbzf728Nl5ne9vF,https://drive.google.com/file/d/1YJVZ73bhdOff8qX3CJbzf728Nl5ne9vF/view,Banta,2007,Comparison of a Highly Polymorphic Olfactory Receptor Gene Subfamily in Genetically Diverse Dog Breeds,banta,2007,comparison of a highly polymorphic olfactory receptor gene subfamily in genetically diverse dog breeds
Barange - 2004 - Long Term Changes in Marine Fisheries.pdf,15PnsF9t4T_vJ_3z6aOqHpYRoPXIJYtQO,https://drive.google.com/file/d/15PnsF9t4T_vJ_3z6aOqHpYRoPXIJYtQO/view,Barange,2004,Long Term Changes in Marine Fisheries,barange,2004,long term changes in marine fisheries
