"","year","Topic","n"
"1",2000,"Ecosystem Ecology",2
"2",2000,"Phylogenetics",0
"3",2000,"Microbiology",0
"4",2000,"Cell Structure & Function",0
"5",2000,"Evolution",0
"6",2000,"Genetics",0
"7",2000,"Noise",0
"8",2000,"Neuroscience",0
"9",2000,"Anatomy & Physiology",0
"10",2000,"Bioinformatics",0
"11",2000,"Disease Ecology",0
"12",2000,"Other",0
"13",2000,"PCR Techniques",0
"14",2000,"Gene Editing",0
"15",2001,"Ecosystem Ecology",0
"16",2001,"Phylogenetics",1
"17",2001,"Microbiology",0
"18",2001,"Cell Structure & Function",0
"19",2001,"Evolution",0
"20",2001,"Genetics",0
"21",2001,"Noise",0
"22",2001,"Neuroscience",0
"23",2001,"Anatomy & Physiology",0
"24",2001,"Bioinformatics",0
"25",2001,"Disease Ecology",0
"26",2001,"Other",0
"27",2001,"PCR Techniques",0
"28",2001,"Gene Editing",0
"29",2002,"Ecosystem Ecology",0
"30",2002,"Phylogenetics",0
"31",2002,"Microbiology",1
"32",2002,"Cell Structure & Function",0
"33",2002,"Evolution",0
"34",2002,"Genetics",0
"35",2002,"Noise",0
"36",2002,"Neuroscience",0
"37",2002,"Anatomy & Physiology",0
"38",2002,"Bioinformatics",0
"39",2002,"Disease Ecology",0
"40",2002,"Other",0
"41",2002,"PCR Techniques",0
"42",2002,"Gene Editing",0
"43",2003,"Ecosystem Ecology",0
"44",2003,"Phylogenetics",2
"45",2003,"Microbiology",0
"46",2003,"Cell Structure & Function",1
"47",2003,"Evolution",1
"48",2003,"Genetics",1
"49",2003,"Noise",0
"50",2003,"Neuroscience",0
"51",2003,"Anatomy & Physiology",0
"52",2003,"Bioinformatics",0
"53",2003,"Disease Ecology",0
"54",2003,"Other",0
"55",2003,"PCR Techniques",0
"56",2003,"Gene Editing",0
"57",2004,"Ecosystem Ecology",10
"58",2004,"Phylogenetics",0
"59",2004,"Microbiology",0
"60",2004,"Cell Structure & Function",0
"61",2004,"Evolution",0
"62",2004,"Genetics",0
"63",2004,"Noise",1
"64",2004,"Neuroscience",0
"65",2004,"Anatomy & Physiology",0
"66",2004,"Bioinformatics",0
"67",2004,"Disease Ecology",0
"68",2004,"Other",0
"69",2004,"PCR Techniques",0
"70",2004,"Gene Editing",0
"71",2005,"Ecosystem Ecology",7
"72",2005,"Phylogenetics",1
"73",2005,"Microbiology",0
"74",2005,"Cell Structure & Function",0
"75",2005,"Evolution",0
"76",2005,"Genetics",0
"77",2005,"Noise",2
"78",2005,"Neuroscience",3
"79",2005,"Anatomy & Physiology",0
"80",2005,"Bioinformatics",0
"81",2005,"Disease Ecology",0
"82",2005,"Other",0
"83",2005,"PCR Techniques",0
"84",2005,"Gene Editing",0
"85",2006,"Ecosystem Ecology",5
"86",2006,"Phylogenetics",1
"87",2006,"Microbiology",0
"88",2006,"Cell Structure & Function",1
"89",2006,"Evolution",0
"90",2006,"Genetics",0
"91",2006,"Noise",0
"92",2006,"Neuroscience",2
"93",2006,"Anatomy & Physiology",1
"94",2006,"Bioinformatics",1
"95",2006,"Disease Ecology",0
"96",2006,"Other",0
"97",2006,"PCR Techniques",0
"98",2006,"Gene Editing",0
"99",2007,"Ecosystem Ecology",4
"100",2007,"Phylogenetics",1
"101",2007,"Microbiology",0
"102",2007,"Cell Structure & Function",0
"103",2007,"Evolution",0
"104",2007,"Genetics",1
"105",2007,"Noise",2
"106",2007,"Neuroscience",0
"107",2007,"Anatomy & Physiology",0
"108",2007,"Bioinformatics",0
"109",2007,"Disease Ecology",0
"110",2007,"Other",0
"111",2007,"PCR Techniques",0
"112",2007,"Gene Editing",0
"113",2008,"Ecosystem Ecology",6
"114",2008,"Phylogenetics",0
"115",2008,"Microbiology",0
"116",2008,"Cell Structure & Function",0
"117",2008,"Evolution",0
"118",2008,"Genetics",0
"119",2008,"Noise",2
"120",2008,"Neuroscience",4
"121",2008,"Anatomy & Physiology",1
"122",2008,"Bioinformatics",0
"123",2008,"Disease Ecology",2
"124",2008,"Other",1
"125",2008,"PCR Techniques",2
"126",2008,"Gene Editing",0
"127",2009,"Ecosystem Ecology",5
"128",2009,"Phylogenetics",2
"129",2009,"Microbiology",0
"130",2009,"Cell Structure & Function",0
"131",2009,"Evolution",0
"132",2009,"Genetics",1
"133",2009,"Noise",0
"134",2009,"Neuroscience",1
"135",2009,"Anatomy & Physiology",0
"136",2009,"Bioinformatics",0
"137",2009,"Disease Ecology",0
"138",2009,"Other",0
"139",2009,"PCR Techniques",0
"140",2009,"Gene Editing",0
"141",2010,"Ecosystem Ecology",6
"142",2010,"Phylogenetics",1
"143",2010,"Microbiology",0
"144",2010,"Cell Structure & Function",0
"145",2010,"Evolution",0
"146",2010,"Genetics",0
"147",2010,"Noise",5
"148",2010,"Neuroscience",2
"149",2010,"Anatomy & Physiology",1
"150",2010,"Bioinformatics",0
"151",2010,"Disease Ecology",0
"152",2010,"Other",0
"153",2010,"PCR Techniques",0
"154",2010,"Gene Editing",0
"155",2011,"Ecosystem Ecology",9
"156",2011,"Phylogenetics",1
"157",2011,"Microbiology",0
"158",2011,"Cell Structure & Function",0
"159",2011,"Evolution",1
"160",2011,"Genetics",3
"161",2011,"Noise",1
"162",2011,"Neuroscience",1
"163",2011,"Anatomy & Physiology",0
"164",2011,"Bioinformatics",2
"165",2011,"Disease Ecology",1
"166",2011,"Other",1
"167",2011,"PCR Techniques",1
"168",2011,"Gene Editing",0
"169",2012,"Ecosystem Ecology",11
"170",2012,"Phylogenetics",0
"171",2012,"Microbiology",0
"172",2012,"Cell Structure & Function",0
"173",2012,"Evolution",1
"174",2012,"Genetics",0
"175",2012,"Noise",3
"176",2012,"Neuroscience",4
"177",2012,"Anatomy & Physiology",1
"178",2012,"Bioinformatics",1
"179",2012,"Disease Ecology",1
"180",2012,"Other",2
"181",2012,"PCR Techniques",0
"182",2012,"Gene Editing",0
"183",2013,"Ecosystem Ecology",9
"184",2013,"Phylogenetics",0
"185",2013,"Microbiology",1
"186",2013,"Cell Structure & Function",1
"187",2013,"Evolution",1
"188",2013,"Genetics",0
"189",2013,"Noise",3
"190",2013,"Neuroscience",3
"191",2013,"Anatomy & Physiology",1
"192",2013,"Bioinformatics",0
"193",2013,"Disease Ecology",0
"194",2013,"Other",2
"195",2013,"PCR Techniques",0
"196",2013,"Gene Editing",0
"197",2014,"Ecosystem Ecology",12
"198",2014,"Phylogenetics",1
"199",2014,"Microbiology",2
"200",2014,"Cell Structure & Function",4
"201",2014,"Evolution",2
"202",2014,"Genetics",3
"203",2014,"Noise",5
"204",2014,"Neuroscience",0
"205",2014,"Anatomy & Physiology",2
"206",2014,"Bioinformatics",0
"207",2014,"Disease Ecology",0
"208",2014,"Other",1
